A Home in Every Port,Везде как дома
Aasimar,Аазимар
Aberration,Аберрация
Ability,Способность
Ability Boost,Повышение характеристики
Ability Flaw,Недостаток характеристики
Ability Modifier,Модификатор характеристики
Ability Score,Значение характеристики
Abjuration,Преграждение
AC,КБ
AC Bonus,Бонус КБ
Acid,Кислота
Acrobatic Performer,Акробатическое выступление
Acrobatics,Акробатика
Actions,Действия
Activate an Item,Активировать Предмет
Activity,Активность
Adamantine,Адамантин
Additional Lore,Дополнительные знания
Additive,Примесь
Adjustment,Приспособление
Administer First Aid,Первая Помощь
Adopted Ancestry,Заимствованная родословная
Advanced First Aid,Улучшенная первая помощь
Advancement Speed,Скорость Прогрессии
Adventure,Приключение
Aeon,Эон
Aerial Combat,Воздушный Бой
Aerobatics Mastery,Мастерство воздушной акробатики
Aesir,Асы
Affix a Talisman,Прикрепить Талисман
Affliction,Недуг
Afflictions,Недуги
Aftermath,Последствие
Agathion,Агатион
Agile,Быстрое
Aid,Помощь
Air,Воздух
Alchemical,Алхимический
Alchemical Crafting,Алхимическое ремесло
Alchemical Elixirs,Алхимические эликсиры
Alchemical Poisons,Алхимические яды
Alchemist,Алхимик
Alignment,Мировоззрение
Ally,Союзник
Ammunition,Амуниция
Amp,Расширение
Amphibious,Земноводный
Anadi,Анади
Anathema,Анафема
Ancestral Paragon,Наследник рода
Ancestry,Родословная
Android,Андроид
Angel,Ангел
Animal,Животное
Apex,Наивысший
Aphorite,Афорит
Aquatic,Водный
Aquatic Combat,Водный Бой
Arcana,Аркана
Arcane Sense,Арканное чутье
Archetype,Архетип
Archetypes,Архетипы
Archon,Архонт
Area,Область
Armor,Доспех
Armor Assist,Помощь с доспехом
Armor Class,Класс Брони
Armor Descriptions,Описания доспехов
Armor Proficiency,Ношение доспехов
Armor Specialization Effects,Эффекты специализации доспеха
Armor Statistics,Характеристики доспехов
Armor Traits,Признаки доспеха
Armored Stealth,Скрытность в доспехах
Arrest a Fall,Остановить падение
Artifact,Артефакт
Assurance,Уверенность
Assured Identification,Уверенная идентификация
Astral,Астральный
Asura,Асура
Athletics,Атлетика
Attached,Прикрепляемое
Attack,Атака
Attack of Opportunity,Возможность для атаки
Attack Rolls,Броски атаки
Attacking with a Shield,Атака щитом
Auditory,Слуховой
Aura,Аура
Aura Sight,Просмотр ауры
Automatic Knowledge,Автоматическое знание
Automatic Writing,Автоматическое письмо
Automaton,Автоматон
Avert Gaze,Отвести взгляд
Avoid Notice,Избегать обнаружения
Axe,Топор
Azarketi,Азаркети
Azata,Азата
Background,Предыстория
Backstabber,Предательское
Backswing,Обратный замах
Backup Disguise,Запасная маскировка
Balance,Балансировать
Barbarian,Варвар
Barbarian Feats,Способности варвара
Bard,Бард
Bargain Hunter,Искатель выгодных сделок
Basic Action,Простое Действие
Basic Alchemy Benefits,Основные Преимущества Алхимии
Basic Spellcasting Benefits,Преимущества Простого Колдовства
Battle Cry,Боевой клич
Battle Medicine,Боевая медицина
Battle Planner,Боевой планировщик
Battle Prayer,Боевая молитва
Beast,Чудовище
Beastkin,Зверолюд
Biographical Eye,Наблюдательный биограф
Bizarre Magic,Странная магия
Bleed,Кровотечение
Bless Tonic,Освященный тоник
Bless Toxin,Освященный токсин
Blinded,Слепота
Bloodline Spells,Заклинания наследия крови
Bludgeoning,Дробящий
Boggard,Боггард
Bomb,Бомба
Bon Mot,Остро́та
Bonded Animal,Прирученное животное
Bonus,Бонус
Borrow an Arcane Spell,Одолжить арканное заклинание
Bow,Лук
Brawling,Драка
Breastplate,Нагрудник
Breath Control,Задержка дыхания
Bright Light,Яркий Свет
Broken,Сломан
Broken Threshold,Предел Поломки
Brutal,Брутальное
BT,ПП
Buckler,Баклер
Bulk,Масса
Bulwark,Защитный
Burrow,Рыть
Burrow Speed,Скорость рытья
Burst,Взрыв
Caligni,Калигни
Campaign,Кампания
Canny Acumen,Проницательность
Cantrip,Чары
Capacity,Вместимость
Caravan Leader,Лидер каравана
Cast a Spell,Сотворение заклинания
Cat Fall,Кошачье падение
Catalyst,Катализатор
Category,Категория
Catfolk,Коточеловек
Celestial,Небожитель
Chain,Кольчужный
Chain Mail,Кольчуга
Chain Shirt,Кольчужная рубаха
Champion,Чемпион
Champion Feats,Способности чемпиона
Changeling,Подменыш
Chaotic,Хаотичный
Character,Персонаж
Character Sheet,Лист Персонажа
Charisma,Харизма
Charlatan,Шарлатан
Charming Liar,Очаровательный лжец
Check,Проверка
Check Penalty,Штраф проверки
Chromotherapy,Цветотерапия
Circumstance Bonus,Бонус Обстоятельств
Circumstance Penalty,Штраф Обстоятельств
Class,Класс
Class DC,КС Класса
Class Feature,Особенность Класса
Cleric,Жрец
Climate,Климат
Climb,Карабкаться
Climb Speed,Скорость Карабканья
Climbing,Карабканье
Clothing,Одежда
Cloud Jump,Облачный прыжок
Club,Дубинка
Clumsy,Неуклюжесть
Cobbled,Сварганенное
Coerce,Принуждение
Coins,Монеты
Cold,Холод
Cold Iron,Холодное Железо
Combat,Бой
Combat Climber,Боевой альпинист
Combination,Комбинированное
Comfort,Удобный
Command,Команда
Command an Animal,Команда Животному
Common,Обычный
Companion,Компаньон
Complex,Комплексная
Component,Компонент
Composite,Композитный
Composition,Композиция
Conceal an Object,Скрыть Объект
Concealable,Скрываемое
Concealed,Скрыт
Concealing Legerdemain,Скрывающее жонглирование
Concentrate,Концентрация
Concussive,Сотрясающее
Condition,Состояние
Cone,Конус
Confabulator,Патологический лжец
Confused,Замешательство
Conjuration,Воплощение
Connections,Связи
Conrasu,Конрасу
Consecration,Освящение
Constitution,Телосложение
Construct,Конструкт
Consult the Spirits,Посоветоваться с духами
Consumable,Расходуемый
Contingency,Сопряженность
Continual Recovery,Непрерывное выздоровление
Contract,Контракт
Controlled,Под Контролем
Copper Piece,Медная Монета
Cost of Living,Стоимость Проживания
Couatl,Коатль
Counteract,Противодействие
Counterspell,Контрзаклинание
Courtly Graces,Аристократическое изящество
Cover,Укрытие
Cover Tracks,Заметать Следы
CP,ММ
Craft,Создание
Craft Anything,Создание чего угодно
Crafter Appraisal,Оценка ремесленником
Crafting,Ремесло
Crawl,Ползти
Create a Diversion,Отвлечь Внимание
Create Forgery,Создать Подделку
Creature,Существо
Criminal Connections,Криминальные связи
Critical,Критический
Critical Fusion,Критическое Слияние
Critical Hits,Критические попадания
Critical Specialization Effects,Эффекты критической специализации
Crystal Healing,Литотерапия
Currency,Деньги
Curse,Проклятие
Cursed,Проклятый
Daemon,Дэймон
Damage,Урон
Damage Rolls,Броски урона
Damage Types,Типы урона
Damaging Armor,Урон доспехам
Darkness,Тьма
Darkvision,Ночное Зрение
Darkwood,Сумеречное Дерево
